symbol,timeframe,days,config,trades,win_rate,total_pnl,avg_pnl,max_dd,sharpe
PEPE_USDT,Min5,60,high-rr,72,19.4,-1140.83,0,0,0
PEPE_USDT,Min5,60,low-rr,82,31.7,-1126.46,0,0,0
PEPE_USDT,Min5,90,base,100,25.0,-1301.07,0,0,0
PEPE_USDT,Min5,90,tight-stop,100,25.0,-1301.47,0,0,0
PEPE_USDT,Min5,90,wide-stop,18,22.2,-573.45,0,0,0
PEPE_USDT,Min5,90,conservative,20,25.0,-334.89,0,0,0
PEPE_USDT,Min5,90,aggressive,142,24.6,-1896.50,0,0,0
PEPE_USDT,Min5,90,high-rr,93,20.4,-941.46,0,0,0
PEPE_USDT,Min5,90,low-rr,109,36.7,129.87,0,0,0
BASED_USDT,Min5,30,base,72,26.4,-561.47,0,0,0
BASED_USDT,Min5,30,tight-stop,72,26.4,-561.47,0,0,0
BASED_USDT,Min5,30,wide-stop,5,20.0,-231.63,0,0,0
BASED_USDT,Min5,30,conservative,9,22.2,-261.13,0,0,0
BASED_USDT,Min5,30,aggressive,82,28.0,-102.29,0,0,0
BASED_USDT,Min5,30,high-rr,66,21.2,-405.15,0,0,0
BASED_USDT,Min5,30,low-rr,74,28.4,-1556.64,0,0,0
BASED_USDT,Min5,60,base,152,28.3,169.18,0,0,0
BASED_USDT,Min5,60,tight-stop,152,28.3,168.52,0,0,0
BASED_USDT,Min5,60,wide-stop,29,31.0,410.30,0,0,0
BASED_USDT,Min5,60,conservative,36,22.2,-728.98,0,0,0
BASED_USDT,Min5,60,aggressive,179,29.1,759.90,0,0,0
BASED_USDT,Min5,60,high-rr,140,22.1,93.67,0,0,0
BASED_USDT,Min5,60,low-rr,159,30.8,-2108.43,0,0,0
BASED_USDT,Min5,90,base,219,27.4,-408.72,0,0,0
BASED_USDT,Min5,90,tight-stop,219,27.4,-408.72,0,0,0
BASED_USDT,Min5,90,wide-stop,55,27.3,24.34,0,0,0
BASED_USDT,Min5,90,conservative,63,22.2,-1187.44,0,0,0
BASED_USDT,Min5,90,aggressive,260,26.9,-911.61,0,0,0
BASED_USDT,Min5,90,high-rr,193,21.8,-119.94,0,0,0
BASED_USDT,Min5,90,low-rr,231,32.9,-1765.85,0,0,0
ZEN_USDT,Min5,30,base,46,21.7,-1302.69,0,0,0
ZEN_USDT,Min5,30,tight-stop,46,21.7,-1301.66,0,0,0
ZEN_USDT,Min5,30,wide-stop,3,66.7,204.65,0,0,0
ZEN_USDT,Min5,30,conservative,5,40.0,-13.81,0,0,0
ZEN_USDT,Min5,30,aggressive,48,22.9,-1153.90,0,0,0
ZEN_USDT,Min5,30,high-rr,44,22.7,-175.67,0,0,0
ZEN_USDT,Min5,30,low-rr,51,31.4,-828.48,0,0,0
ZEN_USDT,Min5,60,base,85,23.5,-1598.97,0,0,0
ZEN_USDT,Min5,60,tight-stop,85,23.5,-1597.98,0,0,0
ZEN_USDT,Min5,60,wide-stop,4,75.0,530.74,0,0,0
ZEN_USDT,Min5,60,conservative,11,18.2,-607.49,0,0,0
ZEN_USDT,Min5,60,aggressive,92,25.0,-1258.29,0,0,0
ZEN_USDT,Min5,60,high-rr,74,21.6,-430.51,0,0,0
ZEN_USDT,Min5,60,low-rr,110,33.6,-883.45,0,0,0
ZEN_USDT,Min5,90,base,149,28.2,-162.48,0,0,0
ZEN_USDT,Min5,90,tight-stop,149,28.2,-157.27,0,0,0
ZEN_USDT,Min5,90,wide-stop,14,50.0,1087.78,0,0,0
ZEN_USDT,Min5,90,conservative,21,23.8,-492.37,0,0,0
ZEN_USDT,Min5,90,aggressive,164,28.0,-241.52,0,0,0
ZEN_USDT,Min5,90,high-rr,130,24.6,1557.90,0,0,0
ZEN_USDT,Min5,90,low-rr,181,34.8,-728.36,0,0,0
